parameter,correlation
accurateLongBalls,0.5926320711664509
accurateOwnHalfPasses,0.588268001111729
accuratePasses,0.5834759719932096
totalOwnHalfPasses,0.5808831985282231
totalPasses,0.5695511412045892
cleanSheet,0.5683481727116675
totwAppearances,0.562766640300575
aerialDuelsWon,0.5576939753404909
accurateOppositionHalfPasses,0.5397673805380433
totalLongBalls,0.530943900837115
touches,0.5303166543820358
totalOppositionHalfPasses,0.5291561814653751
clearances,0.5167795813083721
totalDuelsWon,0.5117300305301721
accurateLongBallsPercentage,0.5005376843648368
totalDuelsWonPercentage,0.4902006338208778
totalShots,0.4877008699677204
aerialDuelsWonPercentage,0.4737242081432434
shotsFromInsideTheBox,0.46813781883789707
groundDuelsWonPercentage,0.46564210724133903
interceptions,0.45674087829907395
minutesPlayed,0.4538438092548514
shotsOnTarget,0.45007791370916694
matchesStarted,0.4446004733643706
shotsOffTarget,0.4428733857885788
accurateFinalThirdPasses,0.44103970783913515
goals,0.43988986215402925
aerialLost,0.4395305284279736
scoringFrequency,0.4365999879191375
inaccuratePasses,0.4357541833596775
ballRecovery,0.4273259290386031
blockedShots,0.4204952887597705
goalsFromInsideTheBox,0.4195535880460593
bigChancesMissed,0.41837188247437135
expectedGoals,0.4017889449472191
headedGoals,0.39657756887714934
goalConversionPercentage,0.39640911526964634
appearances,0.39500802191901
wasFouled,0.38819091663875843
tackles,0.3879482528802339
groundDuelsWon,0.385005383084956
expectedAssists,0.3784931606806558
tacklesWon,0.36787707119351576
goalsAssistsSum,0.36011159963442285
possessionLost,0.34263540661460556
duelLost,0.3367699729417089
goalsConcededOutsideTheBox,0.32987434993389814
fouls,0.3226839989940155
yellowCards,0.31805976041913686
errorLeadToShot,0.29825779387562146
rightFootGoals,0.29174615034906837
keyPasses,0.28710403409675106
shotsFromOutsideTheBox,0.2838025212560705
accuratePassesPercentage,0.28330518904404245
totalAttemptAssist,0.28221188160565003
bigChancesCreated,0.24926655954334828
goalsConceded,0.24916802896224555
hitWoodwork,0.22589375471124976
goalsConcededInsideTheBox,0.22510366848797364
dribbledPast,0.2191056205165958
successfulDribblesPercentage,0.21788209585152768
accurateCrossesPercentage,0.2123946152086406
successfulDribbles,0.19931405967959337
possessionWonAttThird,0.1966499648350361
errorLeadToGoal,0.18445361474882926
passToAssist,0.18273457640879798
goalsFromOutsideTheBox,0.18069154934596923
dispossessed,0.17738520004090647
shotFromSetPiece,0.17664879508516934
totalContest,0.16311035389760656
assists,0.15752842749314852
ownGoals,0.1478655050596849
setPieceConversion,0.12475965023183672
freeKickGoal,0.12475965023183672
accurateCrosses,0.11610869883056028
offsides,0.11557160616072085
tacklesWonPercentage,0.09152826064577337
leftFootGoals,0.0888020554338767
penaltyWon,0.08240050830602187
penaltyConceded,0.06858041460520381
totalCross,0.06718695309727328
redCards,0.012802761905675327
goalsPrevented,
highClaims,
penaltiesTaken,
penaltyConversion,
penaltyFaced,
penaltyGoals,
penaltySave,
punches,
savedShotsFromInsideTheBox,
savedShotsFromOutsideTheBox,
saves,
savesCaught,
savesParried,
